"","Informações da Obra","","","Prazos da Obra","","","","","","","","","","","","",""
"","Custo Total da Obra (CTO)  ","R$ 8.881.626,00","","Início  ","24/04/25","","","","","","","","","","","",""
"","Custo Total da Área Privativa (CTAP)  ","R$ 5.773.056,90","","Fim  ","19/05/26","","","","","","","","","","","",""
"","Custo Total da Área Não Privativa (CTANP)  ","R$ 3.108.569,10","","Fim Plan  ","11/05/26","","","","","","","","","","","",""
"","Padrão  ","","","Atraso  ","5,00","","","","","","","","","","","",""
"","Zoneamento  ","","","Previsão  ","18/05/26","","","","","","","","","","","",""
"","Tipologia  ","","","","","","","","","","","","","","","",""
"","Número de Pavimentos Tipo  ","5","","Termômetro Financeiro","","","","","","","","","","","","",""
"","Outros Pavimentos  ","3","","","","","","","","","","","","","","",""
"","Unidades  ","20","","-R$ 273.883,38","","","","","","","","","","","","",""
"","Área do Terreno (m²)  ","2314,29","","","","","","","","","","","","","","",""
"","Área construiída total (ACT) (m²)  ","4200,00","","Serviços de  Obra","","","","","","","","","","","","",""
"","Área Privativa Total (APT) (m²)  ","2000,00","","Status  ","12,48%","","","","","","","","","","","",""
"","Área Não Privativa Total (ANPT) (m²)  ","2200,00","","Pendente  ","87,52%","","","","","","","","","","","",""
"","Taxa de APT/ACT  ","47,62%","","","","","","","","","","","","","","",""
"","CTO / ACT ( /m²)  ","R$ 2.114,67","","Caminho Crítico","","","","","","","","","","","","",""
"","CTO / APT ( /m²)  ","R$ 4.440,81","","Status  ","28,94%","","","","","","","","","","","",""
"","CTAP / APT ( /m²)  ","R$ 2.886,53","","Pendente  ","71,06%","","","","","","","","","","","",""
"","CTAP / APT ( /m²)  ","R$ 1.412,99","","","","","","","","","","","","","","",""
